SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,bedrooms,bathrooms,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,latitude,longitude,crime_index,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7
MLS Listing,,Condo/Co-op,286 Beacon St #2,Boston,MA,2116,875000,1.0,1.0,Back Bay,876.0,,1890.0,1,999.0,287.0,Active,,,http://www.redfin.com/MA/Boston/286-Beacon-St-02116/unit-2/home/9246804,MLS PIN,72445024,N,Y,42.3532492,-71.08173120000001,2.621728676775337,0.5202386111734266,2.3852656654287276,3.3975066305940236,0.3659942248095673,1.1375956669235863,1.6080150959882367,2.8956853786882384,10.706254524713591
MLS Listing,,Condo/Co-op,300 Commercial St Unit 802 803,Boston,MA,2109,2195000,2.0,2.0,Waterfront,1556.0,,1986.0,1,1411.0,1544.0,Active,,,http://www.redfin.com/MA/Boston/300-Commercial-St-02113/unit-802-803/home/150684714,MLS PIN,72445005,N,Y,42.3650294,-71.0515875,2.5383328028680605,1.7053453834047607,3.518970871274362,4.945951324350152,1.5892861472844326,2.794114182320591,0.1394608993079811,4.379657580801789,10.974495958770667
MLS Listing,,Condo/Co-op,300 Commercial St #803,Boston,MA,2109,1595000,2.0,2.0,Waterfront,1003.0,,1986.0,1,1590.0,1061.0,Active,,,http://www.redfin.com/MA/Boston/300-Commercial-St-02109/unit-803/home/9231665,MLS PIN,72445003,N,Y,42.3651152,-71.0514577,2.5376219401050193,1.7142302868869657,3.5245231936044292,4.9531317285695025,1.5981778414623211,2.8030055451323,0.1483560742410356,4.3883905800123095,10.978582886089432
MLS Listing,,Condo/Co-op,280 Commonwealth Ave #301,Boston,MA,2116,1400000,2.0,1.5,Back Bay,1015.0,1015.0,1899.0,1,1379.0,527.0,Active,,,http://www.redfin.com/MA/Boston/280-Commonwealth-Ave-02116/unit-301/home/9266504,MLS PIN,72445001,N,Y,42.3498104,-71.0840765,2.6318422335007217,0.48533926221694124,2.442573574760679,3.311152091747874,0.4342701291732213,0.8737391573840323,1.8289405464556803,2.6305878020034275,10.538594683841517
MLS Listing,,Condo/Co-op,34 Ash St #403,Cambridge,MA,2138,775000,2.0,1.0,Harvard Square,915.0,,1920.0,1,847.0,598.0,Active,January-24-2019 12:00 PM,January-24-2019 01:00 PM,http://www.redfin.com/MA/Cambridge/34-Ash-St-02138/unit-403/home/138371215,MLS PIN,72444990,N,Y,42.3736405,-71.1256564,2.4441602092942247,3.1531826299023558,0.3225800663904281,1.5560963181456908,3.0185732210423897,2.8653321712436504,3.7466902716934594,4.244192481965658,12.98169001828379
MLS Listing,,Condo/Co-op,311 Commonwealth Ave #40,Boston,MA,2115,1395000,2.0,1.0,Back Bay,1050.0,,1870.0,1,1329.0,635.0,Active,,,http://www.redfin.com/MA/Boston/311-Commonwealth-Ave-02115/unit-40/home/9243264,MLS PIN,72444980,N,Y,42.350112100000004,-71.0864907,2.6300644761987417,0.6093639977624418,2.338171017947096,3.185812640961057,0.5560184792311237,0.8273983288809474,1.9249089256837157,2.60670354890862,10.609585468520072
MLS Listing,,Multi-Family (2-4 Unit),27 Armandine St,Boston,MA,2124,699999,6.0,4.5,Dorchester's Ashmont,3189.0,5000.0,1905.0,1,220.0,,Active,,,http://www.redfin.com/MA/Boston/27-Armandine-St-02124/home/9082624,MLS PIN,72444977,N,Y,42.2847851,-71.07222440000001,2.6227222527323875,4.333475939328701,6.5908258542078455,6.373725194704956,4.5371882788796185,3.933510119712158,5.531578492034073,2.5910757530523494,6.345030906991582
MLS Listing,,Condo/Co-op,777 Lagrange St #5,Boston,MA,2132,319900,2.0,1.0,Boston,615.0,,1965.0,1,520.0,258.0,Active,January-26-2019 12:00 PM,January-26-2019 02:00 PM,http://www.redfin.com/MA/Boston/777-Lagrange-St-02132/unit-5/home/9327856,MLS PIN,72444965,N,Y,42.2910429,-71.1682721,2.3104066960435627,6.162448568537076,6.227190585806132,4.750515797084078,6.271981063863095,5.067805081490948,7.721329711387962,3.703631497753554,10.31441760829314
MLS Listing,,Condo/Co-op,357 Commercial St #106,Boston,MA,2109,649900,2.0,1.5,Boston,1028.0,1028.0,1987.0,1,632.0,430.0,Active,January-26-2019 11:00 AM,January-26-2019 01:00 PM,http://www.redfin.com/MA/Boston/357-Commercial-St-02109/unit-106/home/9230168,MLS PIN,72444942,N,Y,42.3661069,-71.0505699,2.530975906562608,1.7948534168028465,3.55866188327815,5.005358563168555,1.6768395112428272,2.8815723959829054,0.2283105070321633,4.470391919388306,11.03379592040309
MLS Listing,,Condo/Co-op,32 Auburn St #1,Boston,MA,2129,799900,3.0,2.0,Charlestown,1245.0,,1875.0,1,642.0,174.0,Active,January-26-2019 11:30 AM,January-26-2019 01:00 PM,http://www.redfin.com/MA/Boston/32-Auburn-St-02129/unit-1/home/12431167,MLS PIN,72444934,N,Y,42.3813313,-71.06930809999999,2.4905357085349262,2.3516452208575647,2.6155386746248976,4.322220264456705,2.1545043703446005,3.152388236974614,1.4540125599096847,4.9324092963429536,12.304487968199787
MLS Listing,,Townhouse,628 E 2nd St #3,Boston,MA,2127,899000,2.0,2.5,South Boston,1204.0,1204.0,2014.0,1,747.0,154.0,Active,January-26-2019 11:00 AM,January-26-2019 12:30 PM,http://www.redfin.com/MA/Boston/628-E-2nd-St-02127/unit-3/home/58904609,MLS PIN,72444930,N,Y,42.3375081,-71.03814659999999,2.5734266709808242,2.0150966326740987,4.847933270937381,5.790744648438694,2.1181192995267337,2.857968839494451,1.9774525081216898,3.6937005024668657,8.965597521468734
MLS Listing,,Single Family Residential,437 W 4Th St,Boston,MA,2127,2150000,4.0,3.5,South Boston,3126.0,1587.0,1890.0,1,688.0,,Active,January-27-2019 11:00 AM,January-27-2019 01:00 PM,http://www.redfin.com/MA/Boston/437-W-4th-St-02127/home/9190437,MLS PIN,72444928,N,Y,42.3354808,-71.0478384,2.6113189154173213,1.625348230343064,4.510130125930149,5.350552070001356,1.7599195255898032,2.374464508183161,1.9731728162744886,3.1867170378713494,8.957073676403871
MLS Listing,,Condo/Co-op,233 W Canton St #3,Boston,MA,2116,295000,0.0,1.0,South End,264.0,264.0,1860.0,1,1117.0,107.0,Active,January-26-2019 11:00 AM,January-26-2019 01:00 PM,http://www.redfin.com/MA/Boston/233-W-Canton-St-02116/unit-3/home/9249500,MLS PIN,72444915,N,Y,42.3456201,-71.0772792,2.6427405480471933,0.172599510830246,2.8946892112267544,3.711089444844197,0.3452251227849018,0.9512606873950377,1.7386985742529364,2.528958425277271,10.132464931560847
MLS Listing,,Multi-Family (2-4 Unit),41 Summer St,Boston,MA,2136,729000,5.0,2.5,Hyde Park,2615.0,9132.0,1890.0,1,279.0,,Active,January-26-2019 12:00 PM,January-26-2019 01:30 PM,http://www.redfin.com/MA/Hyde-Park/41-Summer-St-02136/home/150465358,MLS PIN,72444911,N,Y,42.2582716,-71.1250075,2.4387871979054765,6.670365194782169,7.968199451189902,6.992744840350365,6.848005604110162,5.8259050702614354,8.145026248962045,4.034672310763583,7.2669525898524565
MLS Listing,,Townhouse,218 Florence St Unit E,Boston,MA,2131,399000,3.0,2.5,Roslindale,1731.0,1731.0,1987.0,1,231.0,336.0,Active,January-26-2019 12:00 PM,January-26-2019 01:30 PM,http://www.redfin.com/MA/Boston/218-Florence-St-02131/unit-E/home/137122815,MLS PIN,72444907,N,Y,42.286006,-71.12002109999999,2.5690381884479763,4.829851199208407,6.048773747930765,5.179370320527497,4.9966308256110805,3.924553101485404,6.350574808143744,2.1432851657741128,8.10485352751536
MLS Listing,,Condo/Co-op,133 Seaport Blvd #716,Boston,MA,2210,1375000,1.0,1.0,Seaport District,845.0,,2019.0,1,1627.0,837.0,Active,,,http://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-716/home/150437643,MLS PIN,72444902,N,Y,42.350628799999996,-71.0433311,2.5634062972181795,1.6409095302811263,4.20309880183794,5.37170705818264,1.654240364123624,2.7014233023206318,1.0485696547173142,3.9554091856779183,9.907996176441
MLS Listing,,Condo/Co-op,133 Seaport Blvd #1101,Boston,MA,2210,1100700,1.0,1.0,Seaport District,672.0,,2019.0,1,1638.0,679.0,Active,,,http://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-1101/home/148367230,MLS PIN,72444899,N,Y,42.3508925,-71.04353359999999,2.5633584996992482,1.633112039688575,4.1866362533097385,5.359642406115317,1.6440902481914008,2.696753317313385,1.0276244888479602,3.958908792954088,9.928111627323295
MLS Listing,,Condo/Co-op,128 Pembroke St #1,Boston,MA,2118,2599000,3.0,3.5,South End,2542.0,,1900.0,1,1022.0,700.0,Active,January-24-2019 12:00 PM,January-24-2019 02:00 PM,http://www.redfin.com/MA/Boston/128-Pembroke-St-02118/unit-1/home/9322357,MLS PIN,72444897,N,Y,42.343007899999996,-71.0775606,2.6490572684754135,0.336630980458726,3.0079035333044075,3.743489783179473,0.5244725525450793,0.8716316906091567,1.8819112810360301,2.369428671522796,9.973291772715422
MLS Listing,,Townhouse,794 E Seventh St Unit L,Boston,MA,2127,1090000,3.0,2.5,South Boston,1410.0,1410.0,2000.0,1,773.0,442.0,Active,January-27-2019 01:30 PM,January-27-2019 03:00 PM,http://www.redfin.com/MA/Boston/794-E-7th-St-02127/unit-L/home/9303436,MLS PIN,72444894,N,Y,42.3326206,-71.0286744,2.53793829864774,2.5909050973444576,5.437602629736713,6.34747209509425,2.7021971765666573,3.373147567892532,2.5004741698462096,4.0191696443025045,8.53596438027296
MLS Listing,,Condo/Co-op,493 Massachusetts Ave #4,Boston,MA,2118,799000,2.0,1.0,South End,1008.0,1008.0,1899.0,1,793.0,436.0,Active,,,http://www.redfin.com/MA/Boston/493-Massachusetts-Ave-02118/unit-4/home/9241758,MLS PIN,72444889,N,Y,42.339503,-71.0808411,2.657134575137782,0.6271857485281133,3.072268458055183,3.660593898859215,0.8025472691889796,0.6685241374880346,2.1751562434747993,2.0749724951450994,9.823989747995423
MLS Listing,,Condo/Co-op,43 St Botolph St #101,Boston,MA,2115,1050000,2.0,2.0,Back Bay,1038.0,,1900.0,1,1012.0,320.0,Active,,,http://www.redfin.com/MA/Boston/43-Saint-Botolph-St-02116/unit-101/home/150390692,MLS PIN,72444888,N,Y,42.3463559,-71.07922940000002,2.641436874775019,0.22611794076856298,2.786619598134974,3.602226312354866,0.3383198778191264,0.8892202390236571,1.7747655359350274,2.5221641540917172,10.21915654777947
