n_neighborhoods,n_estimators,kernel_bandwidth,kernel_type,max_depth,train_score,test_score
3,112,0.009261307724687565,gaussian,3,34.785710176602436,36.85355064889899
4,52,0.006369572072234648,gaussian,3,34.50796015554411,36.86946739009585
3,28,0.0038000199652594956,gaussian,3,35.146875979814524,36.8795442031963
9,110,0.005112346424783022,tophat,3,34.98884525064658,36.914573961546694
10,67,0.0009217027612718551,gaussian,3,34.48159772685196,36.920936097238865
7,10,0.006614662623316383,tophat,3,35.062682780146034,36.92782830095359
6,81,0.0015080281675824742,tophat,3,34.74336214068629,36.93531214995136
9,27,0.0018047488812256603,gaussian,3,34.65693827009366,36.970307549377566
6,53,0.0008731223618125831,tophat,3,34.867876797534436,36.97514416117224
3,118,0.005771106045276651,tophat,3,35.241583063422866,37.00343622009348
8,71,0.002713002059654583,exponential,3,34.982853837384084,37.00756060987533
10,53,0.0009650531520644073,gaussian,3,34.89565393212034,37.01585382389416
3,130,0.006818027844998405,exponential,3,34.88734895101658,37.02592091593715
5,145,0.0004482724670352571,exponential,3,35.61113148411273,37.03090239216627
6,121,0.0003979366064431476,exponential,3,34.952477010277036,37.08972513095392
6,93,0.009961486733780268,exponential,3,35.092877143936946,37.117531195940984
7,123,0.006127718310929111,tophat,3,34.83016947436323,37.133155310256086
6,35,0.004632009873445861,exponential,3,35.76406576407692,37.16130650067916
10,126,0.0004865328720018887,exponential,3,34.741378530833884,37.183105400036936
8,96,0.006610715987783763,exponential,3,34.81686313344686,37.194617003371775
3,128,0.009299228354791586,tophat,3,35.03360929902476,37.211367322837916
